#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
54.113	500	54.139	515
54.164	500	54.189	520
54.215	501	54.240	522
54.265	500	54.290	520
54.316	500	54.342	514
54.366	500	54.392	505
54.417	500	54.443	495
54.468	500	54.493	482
54.519	500	54.544	466
54.569	500	54.595	450
54.620	500	54.646	435
54.670	500	54.696	419
54.722	499	54.747	407
54.772	500	54.797	397
54.823	500	54.849	389
54.873	500	54.899	383
54.924	500	54.950	383
54.975	500	55.000	385
55.026	500	55.051	390
55.076	499	55.101	399
55.127	499	55.153	410
55.177	500	55.203	423
55.228	500	55.254	438
55.279	500	55.304	453
55.330	500	55.355	468
55.380	500	55.406	481
55.431	501	55.457	494
55.481	500	55.507	504
55.533	500	55.558	512
55.583	501	55.608	516
55.634	501	55.660	518
55.684	500	55.710	516
55.735	500	55.761	510
55.786	500	55.811	501
55.837	501	55.862	491
55.887	501	55.912	478
55.938	500	55.964	463
55.988	499	56.014	449
56.039	500	56.065	433
56.090	500	56.115	420
56.141	500	56.166	408
56.191	500	56.217	399
56.242	499	56.268	392
56.292	499	56.318	388
56.344	499	56.369	388
56.394	500	56.419	389
56.445	500	56.471	395
56.495	500	56.521	403
56.546	500	56.572	414
56.597	500	56.622	427
56.648	500	56.673	441
56.698	500	56.724	455
56.749	500	56.775	469
56.799	499	56.825	482
56.850	500	56.876	493
56.901	500	56.926	503
56.952	501	56.977	510
57.003	500	57.028	513
57.053	501	57.079	514
57.104	500	57.129	511
57.155	500	57.180	506
57.206	500	57.230	497
57.256	500	57.282	486
57.307	500	57.332	474
57.357	500	57.383	460
57.409	500	57.433	447
57.459	498	57.484	433
