#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.914	262	35.940	619
35.965	250	35.990	624
36.016	246	36.041	623
36.066	252	36.092	613
36.117	265	36.143	597
36.167	287	36.193	575
36.218	317	36.244	547
36.269	352	36.294	515
36.320	390	36.345	483
36.370	430	36.396	449
36.421	470	36.447	419
36.471	507	36.497	393
36.523	538	36.548	370
36.573	564	36.598	353
36.624	581	36.650	345
36.674	590	36.700	344
36.725	589	36.751	351
36.776	579	36.801	365
36.827	560	36.852	385
36.877	534	36.903	410
36.928	501	36.954	440
36.978	464	37.004	472
37.030	425	37.055	505
37.080	386	37.105	536
37.131	347	37.156	565
37.181	314	37.207	589
37.232	284	37.258	607
37.282	264	37.308	618
37.334	252	37.359	622
37.384	250	37.409	618
37.435	255	37.461	608
37.485	270	37.511	589
37.536	292	37.562	567
37.587	320	37.612	538
37.638	357	37.663	508
37.688	393	37.714	475
37.739	432	37.765	443
37.789	472	37.815	413
37.841	508	37.866	388
37.891	538	37.916	368
37.942	562	37.967	353
37.992	579	38.018	347
38.043	585	38.069	347
38.093	585	38.119	356
38.145	574	38.170	371
38.195	555	38.220	394
38.246	529	38.272	419
38.296	498	38.322	448
38.347	460	38.373	481
38.398	422	38.423	512
38.449	384	38.474	542
38.499	348	38.525	570
38.550	314	38.576	592
38.600	287	38.626	608
38.652	267	38.677	618
38.702	256	38.727	621
38.753	254	38.778	614
38.803	260	38.829	602
38.854	274	38.880	584
38.904	297	38.930	559
38.956	326	38.981	531
39.006	360	39.031	498
39.057	397	39.083	467
39.107	433	39.133	437
39.158	472	39.184	407
39.209	507	39.234	383
39.260	538	39.285	365
39.310	559	39.336	353
39.361	575	39.387	348
39.411	580	39.437	350
39.463	580	39.488	360
39.513	569	39.538	377
39.564	550	39.590	400
39.614	523	39.640	426
39.665	492	39.691	456
39.715	457	39.741	488
39.767	419	39.792	520
39.817	382	39.842	549
