#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
33.582	405	33.607	478
33.633	406	33.658	449
33.683	408	33.709	421
33.734	411	33.760	397
33.784	417	33.810	378
33.836	424	33.861	364
33.886	432	33.911	357
33.937	441	33.963	357
33.987	449	34.013	364
34.038	458	34.064	377
34.088	464	34.114	397
34.140	471	34.165	420
34.190	475	34.215	449
34.241	478	34.267	478
34.291	479	34.317	508
34.342	479	34.368	538
34.393	476	34.418	564
34.444	473	34.469	587
34.494	467	34.520	604
34.545	462	34.571	615
34.595	456	34.621	620
34.647	449	34.672	618
34.697	443	34.722	607
34.748	437	34.774	595
34.798	432	34.824	574
34.849	426	34.875	548
34.899	425	34.925	520
34.951	421	34.976	489
35.001	422	35.026	460
35.052	422	35.078	431
35.102	424	35.128	407
35.153	427	35.179	385
35.205	431	35.229	370
35.255	435	35.280	360
35.306	440	35.331	357
35.356	445	35.382	363
35.407	449	35.432	372
35.458	454	35.483	389
35.509	456	35.533	412
35.559	459	35.585	438
35.610	462	35.635	467
35.660	462	35.686	497
35.712	462	35.736	526
35.762	462	35.787	554
35.813	460	35.837	578
35.863	459	35.889	597
35.914	456	35.939	611
35.964	453	35.990	617
36.016	451	36.040	618
36.066	448	36.091	612
36.117	445	36.142	599
36.167	443	36.193	580
36.218	442	36.243	557
36.269	439	36.294	531
36.320	439	36.344	500
36.370	438	36.396	470
36.421	438	36.446	442
36.471	440	36.497	415
36.523	439	36.547	394
36.573	440	36.598	376
36.624	441	36.648	365
36.674	442	36.700	360
36.725	442	36.750	362
36.775	444	36.801	370
36.827	444	36.851	385
36.877	445	36.902	405
36.928	445	36.953	430
36.978	446	37.004	457
37.029	446	37.054	487
37.080	446	37.105	515
37.131	446	37.155	544
37.181	448	37.207	568
37.232	447	37.257	588
37.282	448	37.308	603
37.334	449	37.358	613
37.384	449	37.409	615
37.435	450	37.459	613
37.485	451	37.511	601
37.536	452	37.561	584
37.586	452	37.612	563
37.638	453	37.662	538
37.688	453	37.713	510
37.739	453	37.764	481
37.789	453	37.815	453
37.840	452	37.865	426
37.891	450	37.916	403
37.942	449	37.966	385
37.992	447	38.018	372
38.043	445	38.068	365
38.093	443	38.119	365
38.145	440	38.169	371
38.195	438	38.220	383
38.246	436	38.270	399
38.296	435	38.322	423
38.347	433	38.373	449
38.397	432	38.423	476
38.449	431	38.474	505
38.499	433	38.524	532
38.550	434	38.576	557
38.600	436	38.626	578
38.651	440	38.677	593
38.702	443	38.727	605
38.753	446	38.778	610
38.803	451	38.829	608
38.854	455	38.880	600
38.904	459	38.930	586
38.956	462	38.981	568
39.006	465	39.031	545
39.057	466	39.083	519
39.107	468	39.133	492
39.158	467	39.184	464
39.208	465	39.234	438
39.260	463	39.285	415
39.310	459	39.335	397
39.361	455	39.387	381
39.411	450	39.437	373
39.462	445	39.488	370
39.513	439	39.538	375
39.564	434	39.589	384
39.614	428	39.640	399
39.665	424	39.691	419
39.715	421	39.741	442
39.767	419	39.792	466
39.817	418	39.842	494
39.868	418	39.894	520
39.918	421	39.944	546
39.969	425	39.995	566
40.019	430	40.045	584
40.071	435	40.096	595
40.121	443	40.146	602
40.172	449	40.198	603
40.222	456	40.248	597
40.273	463	40.299	586
40.324	469	40.349	572
40.375	473	40.400	550
40.425	478	40.451	526
40.476	480	40.502	501
40.526	480	40.552	476
40.578	479	40.603	450
40.628	476	40.653	427
40.679	471	40.705	408
40.729	464	40.755	393
40.780	457	40.806	382
40.830	449	40.856	379
40.882	440	40.907	380
40.932	430	40.957	387
40.983	425	41.009	399
41.033	417	41.059	415
41.084	410	41.110	437
41.135	408	41.160	460
41.186	406	41.211	483
41.236	406	41.262	509
41.287	408	41.313	533
41.337	413	41.363	554
41.389	419	41.414	571
41.439	427	41.464	582
41.490	435	41.516	592
41.540	446	41.566	595
41.591	455	41.617	591
41.641	465	41.667	584
41.693	474	41.718	570
41.743	482	41.768	552
41.794	487	41.820	531
41.844	491	41.870	508
41.895	492	41.921	485
41.946	491	41.971	461
41.997	488	42.022	440
42.048	483	42.073	420
42.098	475	42.124	405
42.149	465	42.174	395
42.200	455	42.225	389
42.251	444	42.275	387
42.301	432	42.327	392
42.352	422	42.377	401
42.402	412	42.428	416
42.454	404	42.478	434
42.504	397	42.529	454
42.555	395	42.579	476
42.605	394	42.631	500
42.656	398	42.681	521
42.706	401	42.732	542
42.758	408	42.782	559
42.808	417	42.833	572
42.859	428	42.884	581
42.909	440	42.935	585
42.960	453	42.985	584
43.011	464	43.036	578
43.062	478	43.086	567
43.112	486	43.138	552
43.163	494	43.188	534
43.213	499	43.239	514
43.265	503	43.289	493
43.315	503	43.340	472
43.366	500	43.390	451
43.416	495	43.442	433
43.467	485	43.492	417
43.517	475	43.543	406
43.569	462	43.593	399
43.619	448	43.644	397
43.670	435	43.695	400
43.720	422	43.746	407
43.771	410	43.796	418
43.822	399	43.847	432
43.873	392	43.897	450
43.923	386	43.949	469
43.974	384	43.999	491
44.024	386	44.050	511
44.076	390	44.100	528
44.126	397	44.151	547
44.177	407	44.201	559
44.227	419	44.253	568
44.278	433	44.303	574
44.328	448	44.354	574
44.380	463	44.404	570
44.430	477	44.455	561
44.481	489	44.506	550
44.531	500	44.557	535
44.582	507	44.607	518
44.633	512	44.658	499
44.684	513	44.708	480
44.734	511	44.760	462
44.785	504	44.810	445
44.835	496	44.861	431
44.887	485	44.911	420
44.937	470	44.962	412
44.988	455	45.012	409
45.038	439	45.064	410
45.089	424	45.115	415
45.139	409	45.165	423
45.191	397	45.216	435
45.241	387	45.266	450
45.292	380	45.318	466
45.342	376	45.368	484
45.393	376	45.419	502
45.444	380	45.469	518
45.495	387	45.520	533
45.545	397	45.571	545
45.596	410	45.622	554
45.646	424	45.672	561
45.698	442	45.723	563
45.748	459	45.773	560
45.799	474	45.825	554
45.849	490	45.875	545
45.900	503	45.926	534
45.950	512	45.976	520
46.002	518	46.027	504
46.052	522	46.077	487
46.103	520	46.129	471
46.153	515	46.179	457
46.204	506	46.230	443
46.255	494	46.280	433
46.306	479	46.331	426
46.356	463	46.382	420
46.407	445	46.433	421
46.457	428	46.483	424
46.509	411	46.534	431
46.559	395	46.584	439
46.610	384	46.636	451
46.660	376	46.686	465
46.711	370	46.737	479
46.761	368	46.787	494
46.813	371	46.838	509
46.863	378	46.888	521
46.914	388	46.940	532
46.964	401	46.990	541
47.015	418	47.041	547
47.066	435	47.091	549
47.117	453	47.142	549
47.167	470	47.193	545
47.218	487	47.244	539
47.268	503	47.294	529
47.320	514	47.345	518
47.370	523	47.395	506
47.421	528	47.447	493
47.471	528	47.497	480
47.522	523	47.548	467
47.572	515	47.598	457
47.624	503	47.649	446
47.674	488	47.699	439
47.725	470	47.751	435
47.775	452	47.801	434
47.826	433	47.852	436
47.877	415	47.902	440
47.928	399	47.953	446
47.978	384	48.004	454
48.029	373	48.055	465
48.079	366	48.105	476
48.131	363	48.156	488
48.181	365	48.206	500
48.232	371	48.258	510
48.282	380	48.308	520
48.333	393	48.359	527
48.384	409	48.409	533
48.435	427	48.460	536
48.485	447	48.510	536
48.536	466	48.562	534
48.586	484	48.612	530
48.637	502	48.663	523
48.688	514	48.713	516
48.739	526	48.764	505
48.789	531	48.815	496
48.840	532	48.866	485
48.890	530	48.916	474
48.942	523	48.967	467
48.992	511	49.017	459
49.043	495	49.069	453
49.093	478	49.119	449
49.144	460	49.170	447
49.195	439	49.220	448
49.246	420	49.271	450
49.296	402	49.321	455
49.347	386	49.373	461
49.397	373	49.423	467
