#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
47.320	499	47.345	351
47.370	500	47.396	348
47.421	500	47.447	347
47.471	500	47.497	353
47.523	499	47.548	364
47.573	501	47.598	378
47.624	500	47.650	396
47.674	501	47.700	416
47.725	501	47.751	438
47.775	501	47.801	459
47.827	501	47.852	480
47.877	499	47.902	501
47.928	501	47.954	518
47.978	501	48.004	531
48.029	501	48.055	539
48.080	501	48.105	543
48.131	501	48.156	542
48.182	501	48.207	535
48.232	501	48.258	526
48.283	501	48.308	511
48.334	500	48.359	492
48.385	501	48.409	473
48.435	501	48.461	452
48.486	498	48.511	431
48.536	500	48.562	409
48.588	500	48.612	390
48.638	500	48.663	374
48.689	500	48.713	363
48.739	500	48.765	354
48.790	500	48.815	351
48.840	501	48.866	352
48.892	500	48.916	359
48.942	500	48.967	368
48.993	500	49.018	384
49.043	500	49.069	401
49.094	500	49.119	421
49.145	501	49.170	442
49.196	500	49.220	463
49.246	501	49.272	483
49.297	501	49.322	501
49.347	501	49.373	515
49.399	502	49.423	528
49.449	501	49.474	535
49.500	501	49.524	538
49.550	501	49.576	537
49.601	501	49.626	530
49.651	500	49.677	520
49.703	501	49.727	505
49.753	500	49.778	488
49.804	501	49.829	469
49.854	501	49.880	449
49.905	500	49.930	428
49.956	500	49.981	408
50.007	500	50.031	390
50.057	500	50.083	373
50.108	500	50.133	365
50.158	500	50.184	358
50.210	500	50.234	355
50.260	500	50.285	357
50.311	500	50.335	364
50.361	500	50.387	374
50.412	500	50.437	389
50.462	501	50.488	406
50.514	501	50.538	424
50.564	501	50.589	445
50.615	500	50.640	465
50.665	501	50.691	486
50.716	500	50.741	500
50.767	500	50.792	516
50.818	501	50.842	525
50.868	501	50.894	532
50.919	501	50.944	534
50.969	500	50.995	533
51.021	501	51.045	525
51.071	502	51.096	515
51.122	501	51.146	500
51.172	500	51.198	483
51.223	501	51.249	463
51.273	501	51.299	446
51.325	500	51.350	426
51.375	500	51.400	407
51.426	500	51.452	392
51.476	500	51.502	378
51.527	501	51.553	368
51.578	500	51.603	361
51.629	500	51.654	358
51.679	500	51.705	362
51.730	500	51.756	369
51.780	500	51.806	379
51.832	500	51.857	393
51.882	499	51.907	410
51.933	501	51.959	428
51.983	500	52.009	448
52.034	501	52.060	467
52.084	500	52.110	484
52.136	501	52.161	500
52.186	501	52.211	513
52.237	501	52.263	523
52.287	501	52.313	529
52.338	502	52.364	530
52.389	500	52.414	527
52.440	501	52.465	520
52.490	502	52.516	510
52.541	501	52.567	494
52.591	501	52.617	480
52.643	501	52.668	462
52.693	500	52.718	443
52.744	501	52.770	426
52.794	500	52.820	407
52.845	500	52.871	390
52.895	500	52.921	380
52.947	500	52.972	370
52.997	500	53.022	365
53.048	499	53.074	364
53.098	500	53.124	367
53.149	500	53.175	374
53.200	500	53.225	385
53.251	500	53.276	398
53.301	500	53.327	415
53.352	501	53.378	432
53.402	501	53.428	450
53.454	500	53.479	469
53.504	501	53.529	486
53.555	500	53.581	500
53.605	502	53.631	512
53.656	501	53.682	520
53.706	501	53.732	525
53.758	501	53.783	525
53.808	500	53.833	523
53.859	501	53.885	515
53.909	500	53.935	505
53.960	500	53.986	490
54.011	501	54.036	474
54.062	500	54.087	458
54.112	500	54.138	440
54.163	500	54.189	423
54.213	501	54.239	407
54.265	500	54.290	393
54.315	500	54.340	381
54.366	500	54.392	373
54.416	500	54.442	369
54.467	500	54.493	368
54.518	500	54.543	373
54.569	500	54.594	379
54.619	500	54.644	390
54.670	500	54.696	403
54.720	500	54.746	419
54.771	500	54.797	435
54.822	501	54.847	452
54.873	501	54.898	470
54.923	500	54.949	485
54.974	500	55.000	499
55.024	501	55.050	510
55.076	501	55.101	517
55.126	501	55.151	521
55.177	502	55.203	521
55.227	500	55.253	517
55.278	501	55.304	510
55.329	500	55.354	499
55.380	501	55.405	487
55.430	501	55.455	471
55.481	500	55.507	455
55.531	501	55.557	438
55.582	500	55.608	422
55.633	501	55.658	407
55.684	501	55.709	395
55.735	500	55.760	383
55.785	500	55.811	377
55.836	500	55.861	372
55.887	500	55.912	373
55.938	500	55.962	377
55.988	500	56.014	383
56.039	500	56.064	395
56.089	500	56.115	408
56.141	500	56.165	424
56.191	500	56.216	439
56.242	500	56.266	453
56.292	501	56.318	471
56.343	501	56.368	485
56.393	500	56.419	497
56.445	500	56.469	507
56.495	500	56.520	515
56.546	500	56.571	518
56.596	501	56.622	515
56.647	501	56.672	510
56.698	500	56.723	505
56.749	501	56.773	495
56.799	502	56.825	482
56.850	500	56.875	469
56.900	501	56.926	452
56.952	500	56.976	436
57.002	501	57.027	421
57.053	501	57.078	407
57.103	500	57.129	396
57.154	500	57.179	386
57.204	500	57.230	380
57.256	500	57.280	376
57.306	500	57.331	379
57.357	500	57.382	382
57.407	500	57.433	390
57.458	500	57.483	399
